Penal Code,Crime,Weapon Used,Age,Gender,Cognizable,Time,Date,Location,FIR Launched by
390,Robbery,knife,29,Male,TRUE,21:47,12/10/2023,Mahesh Society,Soham
390,Robbery,ropes,66,Male,TRUE,6:55,23/7/2023,Bibwewadi Gavthan,Parag
390,Robbery,gun,73,Male,TRUE,19:59,3/10/2020,Shani Mandir,Anand
425,Mischief,,42,Male,FALSE,2:48,20/1/2020,Chintamani III,Abdul
376B,Sexual intercourse by husband upon his wife during separation,,44,Male,FALSE,3:01,5/1/2023,Bibwewadi Gavthan,Milind
463,Forgery,,16,Male,FALSE,1:29,23/6/2021,Katraj,
445,House-breaking,hockey stick,30,Male,TRUE,0:11,19/9/2022,City Pride,Prasad
312,Causing Miscarriage,,45,Female,FALSE,4:32,12/1/2021,Shani Mandir,Pooja
396,"Dacoity,Murder",knife,40,Male,TRUE,23:08,17/12/2022,Chintamani II,Prem
390,Robbery,ropes,46,Male,TRUE,11:27,29/10/2022,Shani Mandir,Sunil
359,Kidnapping,ropes,66,Male,TRUE,21:27,19/12/2023,Katraj,Abhay
415,Cheating,,32,Male,FALSE,4:26,11/1/2022,Shani Mandir,Milind
354A,Sexual harassment,,34,Female,FALSE,9:33,19/10/2020,Mahesh Society,Tina
383,Extortion,ropes,61,Male,TRUE,22:31,27/6/2022,Chintamani I,Prasad
304A,Causing of death by negligence,,63,Male,FALSE,12:16,20/3/2022,Katraj,Om
304B,Dowry death,,45,Female,TRUE,13:56,21/1/2022,Chintamani I,Rashmi
442,House-trespass,,39,Male,FALSE,8:08,3/10/2022,City Pride,Suresh
383,Extortion,knife,58,Male,TRUE,2:54,20/1/2020,Chintamani II,Prem
376B,Sexual intercourse by husband upon his wife during separation,,72,Male,FALSE,15:55,22/1/2023,Chintamani II,Sachin
376B,Sexual intercourse by husband upon his wife during separation,,30,Male,FALSE,20:49,22/1/2020,KK Market,Dheeraj
497,Adultery,,26,Male,FALSE,17:38,20/12/2023,Bibwewadi Gavthan,Prem
510,Misconduct in public by a drunken person,,54,Male,FALSE,23:14,12/12/2020,Shani Mandir,Vaibhav
415,Cheating,,26,Male,FALSE,19:35,16/1/2023,Dolphin Chowk,Arya
359,Kidnapping,ropes,46,Male,TRUE,16:49,23/1/2021,Dolphin Chowk,Sujal
383,Extortion,ropes,62,Male,TRUE,1:37,28/7/2020,Swargate,Ajit
304A,Causing of death by negligence,,20,Male,FALSE,21:45,1/6/2020,Shani Mandir,Anand
359,Kidnapping,gun,44,Male,TRUE,20:42,15/3/2022,Bibwewadi Gavthan,Mustufa
304A,Causing of death by negligence,,27,Male,FALSE,8:37,15/1/2023,Swargate,Vaibhav
304B,Dowry death,,63,Female,TRUE,14:18,14/4/2021,Shani Mandir,Mona
376B,Sexual intercourse by husband upon his wife during separation,,53,Male,FALSE,12:02,9/2/2022,Katraj,Amar
425,Mischief,,75,Male,FALSE,6:52,15/11/2022,Chintamani I,Abdul
300,Murder,knife,35,Male,TRUE,13:51,25/9/2020,Chintamani I,Atharva
300,Murder,knife,68,Male,TRUE,4:23,23/9/2021,Swargate,Prasad
376B,Sexual intercourse by husband upon his wife during separation,,57,Male,FALSE,16:09,31/6/2023,City Pride,Atharva
376B,Sexual intercourse by husband upon his wife during separation,,66,Male,FALSE,4:34,15/1/2022,Chintamani II,Vineet
354D,Stalking,,20,Female,FALSE,0:28,21/4/2021,KK Market,Tina
391,Dacoity,,29,Male,FALSE,8:39,26/7/2023,Sukhsagar Nagar,Suresh
463,Forgery,,58,Male,FALSE,13:40,17/2/2022,City Pride,Abhay
310,Thug ,gun,31,Male,TRUE,1:48,21/9/2021,Bibwewadi Gavthan,Dheeraj
378,Theft,,71,Male,TRUE,15:37,21/11/2023,Khau Gali,Mahendra
497,Adultery,,40,Male,FALSE,17:44,15/6/2020,Dolphin Chowk,Parthiv
510,Misconduct in public by a drunken person,,71,Male,FALSE,2:14,17/10/2020,Sukhsagar Nagar,Atif
415,Cheating,,21,Male,FALSE,19:11,20/7/2020,Sukhsagar Nagar,Ramesh
383,Extortion,gun,68,Male,TRUE,13:08,17/6/2021,Khau Gali,Dheeraj
354D,Stalking,,36,Female,FALSE,16:01,29/4/2023,Swargate,Poonam
510,Misconduct in public by a drunken person,,56,Male,FALSE,11:33,11/3/2020,Khau Gali,Mustufa
359,Kidnapping,ropes,75,Male,TRUE,18:37,24/10/2021,Shani Mandir,Virat
304B,Dowry death,,20,Female,TRUE,20:17,10/11/2020,Chintamani II,Sonia
354D,Stalking,,70,Female,FALSE,23:03,29/12/2023,Dolphin Chowk,Anita
359,Kidnapping,gun,46,Male,TRUE,10:02,5/6/2022,Dolphin Chowk,Anand
410,Stolen property,,42,Male,FALSE,11:19,5/9/2021,Swargate,Abhay
463,Forgery,,32,Male,FALSE,10:35,28/11/2022,Mahesh Society,Abdul
464,Making a false document,,25,Male,FALSE,23:38,21/12/2023,Katraj,Ajit
445,House-breaking,stones,75,Male,TRUE,12:43,25/3/2021,Bibwewadi Gavthan,Vaibhav
378,Theft,,61,Male,TRUE,15:57,21/6/2023,Shani Mandir,Kailash
510,Misconduct in public by a drunken person,,22,Male,FALSE,10:32,26/10/2020,Chintamani III,Prem
390,Robbery,gun,52,Male,TRUE,22:54,30/12/2022,Chintamani II,Dheeraj
376B,Sexual intercourse by husband upon his wife during separation,,61,Male,FALSE,3:05,27/2/2021,Chintamani III,Atif
304B,Dowry death,,42,Female,TRUE,13:57,18/10/2021,Katraj,Pooja
497,Adultery,,27,Male,FALSE,4:43,2/1/2020,Mahesh Society,Vaibhav
391,Dacoity,,65,Male,FALSE,1:24,1/10/2020,City Pride,Mustufa
312,Causing Miscarriage,,28,Female,FALSE,18:57,8/3/2020,Swargate,Kajal
497,Adultery,,33,Male,FALSE,0:10,10/10/2022,Dolphin Chowk,Navjot
425,Mischief,,57,Male,FALSE,15:46,7/12/2023,Swargate,Dheeraj
298,Uttering words with deliberate intent to wound religious feelings,,54,Male,FALSE,20:31,9/12/2020,Chintamani I,Riyan
376B,Sexual intercourse by husband upon his wife during separation,,30,Male,FALSE,15:38,26/10/2022,Mahesh Society,Prem
310,Thug ,knife,22,Male,TRUE,18:26,30/10/2021,Chintamani I,Virat
396,"Dacoity,Murder",knife,22,Male,TRUE,5:42,20/1/2022,Khau Gali,Amar
354A,Sexual harassment,,71,Female,FALSE,2:21,18/11/2023,Mahesh Society,Rashmi
354A,Sexual harassment,,66,Female,FALSE,3:12,10/11/2023,Swargate,Smita
378,Theft,,30,Male,TRUE,22:30,11/5/2020,Sukhsagar Nagar,Prasad
310,Thug ,knife,65,Male,TRUE,18:02,5/10/2022,Bibwewadi Gavthan,Mustufa
300,Murder,ropes,43,Male,TRUE,11:01,29/6/2022,Sukhsagar Nagar,Vaibhav
410,Stolen property,,71,Male,FALSE,15:02,18/5/2022,Shani Mandir,Riyan
391,Dacoity,,72,Male,FALSE,10:28,18/4/2020,Bibwewadi Gavthan,Dheeraj
396,"Dacoity,Murder",ropes,18,Male,TRUE,0:01,7/10/2020,Mahesh Society,
304B,Dowry death,,30,Female,TRUE,22:12,27/12/2023,City Pride,Sneha
463,Forgery,,55,Male,FALSE,12:40,5/2/2022,Chintamani III,Debashish
445,House-breaking,hammer,28,Male,TRUE,13:06,15/9/2023,Dolphin Chowk,Mustufa
425,Mischief,,25,Male,FALSE,1:09,21/5/2023,Chintamani I,Debashish
312,Causing Miscarriage,,48,Female,FALSE,14:03,4/3/2020,Swargate,Neha
304B,Dowry death,,58,Female,TRUE,8:03,12/9/2022,Bibwewadi Gavthan,Sonia
